id,w_foreign_language,w_literature,w_math,x_biology,x_chemistry,x_physics,y_civic_education,y_geography,y_history,z_average,z_max,z_min
33000913,8.80,8.25,8.40,-,-,-,9.25,7,3.75,7.58,9.25,3.75
33000915,4.80,6,8,-,-,-,8,7,5.75,6.59,8.0,4.8
33000914,5,7.50,8,-,-,-,9.25,8.25,7.25,7.54,9.25,5.0
33000916,5.80,5,4.80,-,-,-,7.25,7,6,5.98,7.25,10
33000917,8,8,8,-,-,-,9.50,8.25,7.25,8.17,9.5,7.25
33000920,4,6.75,5.60,-,-,-,7,4.75,4.75,5.48,7.0,4.0
33000921,4.80,5.75,5.60,-,-,-,7.25,5.25,2.25,5.15,7.25,2.25
33000918,3.80,6,2.40,-,-,-,5,5.50,4.25,4.49,6.0,3.8
33000919,3.80,6.83,3.80,-,-,-,8,7.25,4,5.61,8.0,3.8
33000922,3,6,7.40,-,-,-,8.25,8.25,5,6.32,8.25,3.0
33000923,3.80,7.75,7,-,-,-,9.50,9.50,9.25,7.8,9.5,3.8
33000924,2.80,6.75,7.20,-,-,-,8.25,9,7.50,6.92,9.0,2.8
33000926,9.40,8.75,7.80,-,-,-,8,8.25,8,8.37,9.4,8.0
33000925,3.20,4.25,4.20,-,-,-,6.75,4.75,2.75,4.32,6.75,2.75
33000927,1.80,5,3.40,-,-,-,5.50,6.25,2.75,4.12,6.25,1.8
33000930,5,4.50,6.20,-,-,-,9.25,7,5.75,6.28,9.25,4.5
33000929,3.60,4.25,2.20,-,-,-,4.25,3.50,2.25,3.34,4.25,2.25
33000932,4.60,6,5.60,-,-,-,9,6.75,5.25,6.2,9.0,4.6
33000931,8,7.25,6.20,-,-,-,8,9,4,7.08,9.0,4.0
33000933,4.40,4,5.60,-,-,-,7.25,7.75,5.50,5.75,7.75,4.0
33000935,3.80,4.25,2.60,-,-,-,5.75,6.25,2.50,4.19,6.25,2.5
33000934,4.20,5.25,4.80,-,-,-,6.50,6.25,2.50,4.92,6.5,2.5
33000936,8.40,7.75,6,-,-,-,7.75,8,6.50,7.4,8.4,6.5
33000938,4.20,7.25,5.40,-,-,-,9,6.50,6.75,6.52,9.0,4.2
33000937,5,7,6.60,-,-,-,8,7,3.50,6.18,8.0,3.5
33000939,7.80,7,8,7.75,7.50,4.75,-,-,-,7.13,8.0,4.75
33000940,6.20,6,7.20,6.75,6.25,4.75,-,-,-,6.19,7.2,4.75
33000943,5.60,8.25,7.80,-,-,-,9,7.75,5.25,7.27,9.0,5.25
33000942,6.40,8.50,8.40,-,-,-,9.75,7.75,8,8.13,9.75,6.4
33000941,9.20,7.75,7.60,-,-,-,9.50,8.25,7,8.22,9.5,7.0
33000944,6.20,7.50,5.40,-,-,-,8.50,6.75,4.25,6.43,8.5,4.25
33000946,7.60,8.25,5.40,-,-,-,7.25,7,5.50,6.83,8.25,5.5
33000945,5,6.75,3.80,-,-,-,6.75,5.75,4.75,5.47,6.75,4.75
33000947,5.60,5.25,5.80,-,-,-,9,6,3.50,5.86,9.0,3.5
33000948,5.80,8,6.40,-,-,-,7.75,5.75,3.25,6.16,8.0,3.25
33000949,7.80,7.75,5,-,-,-,7.75,7.25,3.25,6.47,7.8,3.25
33000950,3.80,5.50,6.80,5.50,7.75,5.25,-,-,-,5.77,7.75,3.8
33000951,10,6.50,9.20,8,6,8.50,-,-,-,8.03,10.0,6.0
33000954,7.60,6,7.60,-,-,-,9.50,8.50,7,7.7,9.5,6.0
33000952,8.60,6.50,9,5.50,5,8.50,-,-,-,7.18,9.0,5.0
33000953,6.20,7,8.40,4.50,7,6.50,-,-,-,6.6,8.4,4.5
33000955,3.40,6.50,3.80,-,-,-,6.50,5.25,2.50,4.66,6.5,2.5
33000956,5.60,7.50,6.20,-,-,-,9.25,7.50,2.50,6.42,9.25,2.5
33000957,4.20,7.25,4.80,-,-,-,8.75,6,4.25,5.88,8.75,4.2
33000959,2.20,3.75,4.20,-,-,-,6.50,5.25,1.50,3.9,6.5,1.5
33000958,5.40,8.50,4.40,-,-,-,8.25,5.50,3,5.84,8.5,3.0
33000963,5,6.75,6,-,-,-,8.75,7.75,6.75,6.83,8.75,5.0
33000962,5.80,8.25,6.40,-,-,-,9.50,7,7.75,7.45,9.5,5.8
33000961,4,7.50,4.20,-,-,-,8.25,6.50,4.25,5.78,8.25,4.0
33000960,7.20,6.75,6.40,-,-,-,9.25,5.25,4.25,6.52,9.25,4.25
33000964,4.20,3.25,2.20,-,-,-,6.25,5.75,4.25,4.32,6.25,10
33000966,8.60,7.25,8.40,6.75,8.50,7.75,-,-,-,7.88,8.6,6.75
33000965,5.80,8.25,8,-,-,-,9,7.75,8,7.8,9.0,5.8
33000967,7.20,8,7.80,-,-,-,8.25,7.25,7.25,7.62,8.25,7.2
33000968,3.20,7.25,7,3.50,2.75,4.75,-,-,-,4.74,7.25,2.75
33000971,4.60,4.75,5.60,-,-,-,8.50,5.50,4.75,5.62,8.5,4.6
33000970,7.20,6.25,6.60,5.50,7.25,4.25,-,-,-,6.17,7.25,4.25
33000969,6,7.50,5.40,-,-,-,8.25,6.75,6.50,6.73,8.25,6.0
33000972,6.40,6.50,6.20,-,-,-,8.25,7.75,4.25,6.56,8.25,4.25
33000974,6.60,6,6.60,-,-,-,7.75,7.25,4.50,6.45,7.75,4.5
33000973,9.40,8.50,6.20,-,-,-,9,8.50,5.25,7.81,9.4,5.25
33000975,9.40,8,7.80,-,-,-,6.75,7.25,5.25,7.41,9.4,5.25
33000976,5.40,8,7.40,-,-,-,9.50,7,4.25,6.92,9.5,4.25
33000978,3,7.75,5.60,-,-,-,7.50,5.25,4.50,5.6,7.75,3.0
33000979,4,7.50,7.40,-,-,-,8.75,8,5.25,6.82,8.75,4.0
33000977,6.80,4.50,7,-,-,-,8.75,5.50,3.50,6.01,8.75,3.5
33000981,5,6.75,5.40,-,-,-,7.75,5.75,2,5.44,7.75,2.0
33000982,5.60,7.25,7,-,-,-,6.75,7.25,3.25,6.18,7.25,3.25
33000983,3.40,7.25,4,-,-,-,6.75,5.75,3.25,5.07,7.25,3.25
33000980,8.20,7.75,8.40,9.50,7.50,6.50,-,-,-,7.97,9.5,6.5
33000984,9.60,8.50,8.80,-,-,-,9,5.75,5,7.77,9.6,5.0
33000985,3.20,6.75,5.40,-,-,-,7.75,5.25,2.50,5.14,7.75,2.5
33000986,3,7.50,6.60,-,-,-,7.75,5.75,3.50,5.68,7.75,3.0
33000987,7.40,8,7.80,-,-,-,9.25,7.75,7.75,7.99,9.25,7.4
33000988,5.20,7.17,5.80,-,-,-,9.25,7.50,4.25,6.53,9.25,4.25
33000990,7.40,7,7.40,5.75,5.50,6.25,-,-,-,6.55,7.4,5.5
33000989,6.80,8,6.20,-,-,-,6.75,7,3,6.29,8.0,3.0
33000991,5.40,8,5.20,-,-,-,8.25,6,5,6.31,8.25,5.0
33000992,8.60,6.50,6.60,8.75,5.25,6.75,-,-,-,7.08,8.75,5.25
33000994,3.60,5,4,-,-,-,6.25,7.25,4.25,5.06,7.25,3.6
33000993,6,7.25,6.80,-,-,-,9,6,3,6.34,9.0,3.0
33000996,3,5.50,3.80,-,-,-,6.75,6,5.50,5.09,6.75,3.0
33000995,5.40,5.50,8.40,5.75,6,6.75,-,-,-,6.3,8.4,5.4
33000997,3.60,7,4.80,-,-,-,8,5.75,2.50,5.27,8.0,2.5
33000998,9.20,8.50,7.80,-,-,-,8,6.75,6.50,7.79,9.2,6.5
33000999,3.80,6.50,4.20,-,-,-,6.25,6,1.50,4.71,6.5,1.5
33001000,4.80,7.75,5.20,-,-,-,5.50,5,5.75,5.67,7.75,4.8
33001001,4.20,7.25,7,-,-,-,9.75,7,5,6.7,9.75,4.2
33001002,7.40,7.75,6.60,-,-,-,8.25,6.50,4.75,6.88,8.25,4.75
33001003,4.40,4.25,7,-,-,-,7.75,6.50,4,5.65,7.75,4.0
33001006,7.40,7,5,-,-,-,8.50,6,4.75,6.44,8.5,4.75
33001004,3.60,4.25,5,-,-,-,8.50,6,3.50,5.14,8.5,3.5
33001007,5,7,7,6.75,6,5,-,-,-,6.12,7.0,5.0
33001005,7.80,5.75,6.40,-,-,-,7.75,7.25,3.50,6.41,7.8,3.5
33001008,7.80,8.25,7.40,4.75,4.75,7,-,-,-,6.66,8.25,4.75
33001010,5.40,7.25,8.20,5.50,7.25,7.50,-,-,-,6.85,8.2,5.4
33001009,5.20,7.25,6,-,-,-,9.50,7.50,8.50,7.33,9.5,5.2
33001011,7.60,6,9.20,5.75,4.50,7.25,-,-,-,6.72,9.2,4.5
33001013,6.20,6.50,6.80,-,-,-,8.50,7.75,6,6.96,8.5,6.0
33001014,3.80,6,5.80,-,-,-,7.75,6.25,6.75,6.06,7.75,3.8
33001015,8.80,3.50,7.80,5.25,5.50,5.25,-,-,-,6.02,8.8,3.5
33001012,4.40,6,6.60,-,-,-,8.75,6.50,6,6.38,8.75,4.4
33001016,4.80,7,6.40,-,-,-,6.75,6.25,2.50,5.62,7.0,2.5
33001017,5.20,7.25,5.60,-,-,-,7.50,7,8,6.76,8.0,5.2
33001018,7.20,7.25,7.80,-,-,-,9.25,8.25,5,7.46,9.25,5.0
33001019,8,8.25,6.40,-,-,-,8.75,8.50,7.50,7.9,8.75,7.5
33001020,7.60,8.25,7.20,-,-,-,9.50,7.50,5.75,7.63,9.5,5.75
33001021,4.60,7.50,6.40,-,-,-,6.75,5.75,4.50,5.92,7.5,4.5
33001022,3.40,7.75,5.80,-,-,-,7.25,5.75,4.75,5.78,7.75,3.4
33001023,3.40,5.50,5.60,-,-,-,7.25,6.75,6.25,5.79,7.25,3.4
33001024,4,6.25,5.20,-,-,-,7,6.50,3.25,5.37,7.0,3.25
33001025,5,8.25,5,-,-,-,8.25,6.50,6.25,6.54,8.25,5.0
33001026,5.20,7.50,7.20,-,-,-,7,5.25,2.75,5.82,7.5,2.75
33001027,8.20,8.75,7.40,-,-,-,9.25,8.25,4.75,7.77,9.25,4.75
33001028,3.20,8.25,6.20,-,-,-,6.50,7.50,3.75,5.9,8.25,3.2
33001029,5.20,5,5.60,-,-,-,7,6.25,4,5.51,7.0,4.0
33001031,4.80,7.50,7.60,-,-,-,8.50,7.25,7,7.11,8.5,4.8
33001030,4.40,7.50,6.80,-,-,-,8.25,7,7,6.83,8.25,4.4
33001032,7.40,5.75,7,-,-,-,9,7.25,3.50,6.65,9.0,3.5
33001033,7.80,8,7.80,5.50,7.25,8.25,-,-,-,7.43,8.25,5.5
33001034,4.60,5,7.40,-,-,-,7,6.25,3.50,5.62,7.4,3.5
33001035,3.80,5.25,5.60,-,-,-,6.50,7,3,5.19,7.0,3.0
33001037,5.20,4.75,4.60,-,-,-,5.50,6.50,5,5.26,6.5,5.0
33001036,7.40,7.50,6.40,-,-,-,8.75,8,4.75,7.13,8.75,4.75
33001040,8.60,7.50,7.20,-,-,-,9.75,8.75,8.50,8.38,9.75,8.5
33001038,5.20,7.25,6.60,-,-,-,8.50,4.75,3.50,5.97,8.5,3.5
33001039,7.80,8,7.80,-,-,-,8.75,6.25,5,7.27,8.75,5.0
33001041,4.80,6.50,4.60,-,-,-,8.75,8,3.50,6.02,8.75,3.5
33001042,2.80,3.25,3.40,-,-,-,6.25,3.75,4.50,3.99,6.25,2.8
33001043,3.80,7.25,5.80,-,-,-,9,8,6.25,6.68,9.0,3.8
33001045,5.20,7,5.20,-,-,-,7.50,6.50,3,5.73,7.5,3.0
33001044,6.20,7.50,7.60,4.50,5.50,8,-,-,-,6.55,8.0,4.5
33001046,6.60,7.50,7.40,-,-,-,8.25,7,7,7.29,8.25,6.6
33001047,9.80,6.50,9.60,5.25,8.75,7,-,-,-,7.82,9.8,5.25
33001048,5.20,7.75,6.80,-,-,-,7.25,7.25,3.50,6.29,7.75,3.5
33001049,3.40,4.50,5,-,-,-,6.50,4,3.50,4.48,6.5,3.4
33001050,7,7.75,6.60,-,-,-,7.25,5.75,4,6.39,7.75,4.0
33001051,3.80,6.25,5.60,-,-,-,8.50,7.75,8,6.65,8.5,3.8
33001052,4,7.50,7.40,-,-,-,9.25,6.25,5.50,6.65,9.25,4.0
33001054,4.60,4.25,8.60,3.25,8,7.50,-,-,-,6.03,8.6,3.25
33001053,8.40,5.50,8.40,7,7.75,7.50,-,-,-,7.42,8.4,5.5
33001055,4.80,7.50,6.20,-,-,-,9,7.50,6.75,6.96,9.0,4.8
33001057,3.40,4.25,3.20,-,-,-,6,3,1.25,3.52,6.0,1.25
33001058,5.60,7,6.40,-,-,-,8.25,6.50,4.25,6.33,8.25,4.25
33001056,4,7.50,5,-,-,-,8.75,8,2.75,6.0,8.75,2.75
33001059,5.20,6.50,6.20,-,-,-,6,5.50,4,5.57,6.5,4.0
33001060,9.40,8.50,8.60,-,-,-,9,9.75,8,8.88,9.75,8.0
33001061,7,7,6,-,-,-,8.50,6.75,5.75,6.83,8.5,5.75
33001063,7.60,5,4.20,-,-,-,7.25,5.25,5.75,5.84,7.6,5.25
33001062,7,7,5.80,-,-,-,8.50,7.75,4.25,6.72,8.5,4.25
33001064,8,7.75,7,-,-,-,9,8.25,5.25,7.54,9.0,5.25
33001068,4,5.50,5.20,5,5.25,7,-,-,-,5.33,7.0,4.0
33001066,3.80,6.75,5.40,-,-,-,8.50,6.25,4.25,5.83,8.5,3.8
33001069,4,4.50,5.20,-,-,-,6.25,6,3.75,4.95,6.25,3.75
33001071,5.80,6,6.60,-,-,-,9.25,7.50,4.75,6.65,9.25,4.75
33001065,7.40,8,8.80,-,-,-,8.25,7.50,7.25,7.87,8.8,7.25
33001070,5,5,4,-,-,-,8.75,7,4.50,5.71,8.75,4.5
33001074,4.80,6.75,5.80,-,-,-,8.50,8.25,5.75,6.64,8.5,4.8
33001075,3.40,8,4.80,-,-,-,5.75,5.25,2.25,4.91,8.0,2.25
33001073,2,3,2.40,-,-,-,4.50,5.50,3.75,3.52,5.5,2.0
33001072,4.80,3.50,8,-,-,-,7.75,7,4,5.84,8.0,3.5
33001067,5,8,8.40,-,-,-,9.50,9.25,9,8.19,9.5,5.0
33001078,7.20,7.25,8.80,7.25,7.50,8,-,-,-,7.67,8.8,7.2
33001077,4.60,6.75,2.60,-,-,-,7.25,5.50,5.75,5.41,7.25,4.6
33001076,5.60,7.75,8,-,-,-,9.75,8.50,8.50,8.02,9.75,5.6
33001085,3.40,7,8,-,-,-,9.25,6.75,5.75,6.69,9.25,3.4
33001086,3.20,4.75,7.20,-,-,-,6.75,7,3.75,5.44,7.2,3.2
33001082,3.60,5.75,3.80,-,-,-,7.50,6.50,4,5.19,7.5,3.6
33001083,2.20,7.75,4.20,-,-,-,7.50,8.75,6.25,6.11,8.75,2.2
33001079,2.20,7.50,3.40,-,-,-,8.25,7.25,3,5.27,8.25,2.2
33001084,2.40,6.50,5.40,-,-,-,8.50,7.50,7,6.22,8.5,2.4
33001080,4.20,6.75,6.40,-,-,-,8.50,7.50,4.75,6.35,8.5,4.2
33001081,3.40,7.25,4.80,-,-,-,8.75,5.75,3.75,5.62,8.75,3.4
33001087,4,7.25,7.80,-,-,-,8,7.25,4.25,6.42,8.0,4.0
33001088,2.60,6.75,6.80,5.50,5.25,5.75,-,-,-,5.44,6.8,2.6
33001090,4.80,6.25,8.40,5.75,8.25,7.25,-,-,-,6.78,8.4,4.8
33001089,3.20,7.25,3.80,-,-,-,9.25,9,7.75,6.71,9.25,3.2
33001092,4.20,6.75,7,-,-,-,7.25,7,6.75,6.49,7.25,4.2
33001091,4.60,3.50,3.60,-,-,-,8,6.25,3.75,4.95,8.0,3.5
33001093,2.80,5.50,7.20,-,-,-,8.75,7.75,7.25,6.54,8.75,2.8
33001094,6.20,6.25,7.60,7.25,4.50,8.50,-,-,-,6.72,8.5,4.5
33001098,3,7,6.40,-,-,-,9.50,7.25,8.50,6.94,9.5,3.0
33001097,5.20,3.50,4,-,-,-,8.50,7.25,4.75,5.53,8.5,3.5
33001096,9.20,7.75,8.60,-,-,-,9,9.25,8,8.63,9.25,7.75
33001099,3.40,6,5.80,-,-,-,9.25,7.50,6.50,6.41,9.25,3.4
33001095,2.20,4.25,2.60,-,-,-,6.50,3.75,4,3.88,6.5,2.2
33001100,6.60,7.75,8.60,8,8,5,-,-,-,7.33,8.6,5.0
33001101,2.80,5.50,5.60,-,-,-,7.25,5.50,3,4.94,7.25,2.8
33001102,8.60,8.50,8.60,7.75,8.25,8.25,-,-,-,8.33,8.6,7.75
33001105,2.60,4.50,4.60,-,-,-,9,7.25,2,4.99,9.0,2.0
33001104,3.20,6.50,6.20,-,-,-,8.50,6.25,6.25,6.15,8.5,3.2
33001103,2.60,5.25,3.80,-,-,-,7.25,7.50,7.50,5.65,7.5,2.6
33001107,7.80,7.25,8.40,-,-,-,9.50,8.75,6.50,8.03,9.5,6.5
33001109,3,6.25,7,-,-,-,9,7.75,4.75,6.29,9.0,3.0
33001108,3.20,5.50,4.60,-,-,-,8.50,6.50,7.50,5.97,8.5,3.2
33001106,3,5.75,3.80,-,-,-,7.50,7.50,5.75,5.55,7.5,3.0
33001110,2.80,6.75,2.20,-,-,-,5.50,6,2.25,4.25,6.75,2.25
33001112,2.60,4,3.60,-,-,-,4.25,5.75,3.50,3.95,5.75,2.6
33001111,3.60,6.25,5.20,-,-,-,6.25,6.25,3,5.09,6.25,3.0
33001113,4.40,5.25,5.60,-,-,-,7.75,8.25,5.50,6.12,8.25,4.4
33001115,2.40,5.50,5,-,-,-,5.50,6.50,3,4.65,6.5,2.4
33001116,3.20,5.25,3.80,-,-,-,9,8,7.25,6.08,9.0,3.2
33001114,2.60,6.50,3.20,-,-,-,5.50,6,2.50,4.38,6.5,2.5
33001119,2.80,4.50,6.60,-,-,-,6.75,5.25,4,4.98,6.75,2.8
33001118,3.40,5.75,5.80,-,-,-,9.50,6.25,3.75,5.74,9.5,3.4
33001117,2.60,4.50,4.60,-,-,-,6.75,6.50,5.25,5.03,6.75,2.6
33001121,2.80,7.75,3.80,-,-,-,8.50,7.50,5.25,5.93,8.5,2.8
33001120,3.80,7,6.40,-,-,-,8.75,6.75,5,6.28,8.75,3.8
33001122,2.20,5.50,4.40,-,-,-,7,6.25,5,5.06,7.0,2.2
33001123,5.80,8.50,8.20,-,-,-,8.50,8.50,6.50,7.67,8.5,5.8
33001126,3.40,5.50,2.80,-,-,-,5.75,5,4,4.41,5.75,3.4
33001127,2,5.25,6.80,-,-,-,8.25,6.50,2.75,5.26,8.25,2.0
33001125,3,3.75,3.40,-,-,-,5,5.50,3.50,4.02,5.5,3.0
33001128,3.80,5,6.20,-,-,-,9.25,7,6.75,6.33,9.25,3.8
33001130,4.20,6.25,8.20,4,9,8,-,-,-,6.61,9.0,4.0
33001129,2.60,5.50,6.20,-,-,-,8.25,7.50,6,6.01,8.25,2.6
33001124,2.80,4.50,3.40,-,-,-,6.50,6.25,2.25,4.28,6.5,2.25
33001131,4.20,5.50,7,-,-,-,8.50,7.25,3.50,5.99,8.5,3.5
33001132,4.40,6,3.60,-,-,-,7.50,7.25,4.50,5.54,7.5,4.4
33001135,5.80,8,8,-,-,-,9.75,6.75,5.25,7.26,9.75,5.25
33001134,9.20,8.50,8.80,8,8.25,8.75,-,-,-,8.58,9.2,8.0
33001139,3,6,2,-,-,-,7,4.50,3,4.25,7.0,3.0
33001133,6.80,7.25,7.60,-,-,-,9,7.25,6.25,7.36,9.0,6.25
33001137,3.40,7.75,6.60,3.50,8.25,5.50,-,-,-,5.83,8.25,3.4
33001138,4,6.75,5.80,-,-,-,8.25,5.75,4.50,5.84,8.25,4.0
33001136,3.40,8.25,6.60,-,-,-,7.75,7.50,4.25,6.29,8.25,3.4
33001140,6.60,7.75,4.20,-,-,-,8,6.50,2.75,5.97,8.0,2.75
33001141,5.20,3.50,4.60,-,-,-,5.25,5,2.50,4.34,5.25,2.5
33001146,9.20,7.42,8.40,4.50,6.50,8,-,-,-,7.34,9.2,4.5
33001145,4.40,6.50,8.60,9,8.50,6.25,-,-,-,7.21,9.0,4.4
33001142,2.60,6.25,4.80,-,-,-,8.75,6.75,2.75,5.32,8.75,2.6
33001147,7,8.25,7.60,4.75,5.25,5,-,-,-,6.31,8.25,4.75
33001143,9.20,8,8.20,7.75,8,7.75,-,-,-,8.15,9.2,7.75
33001144,4.60,8,8.60,4.50,7.50,7.75,-,-,-,6.83,8.6,4.5
33001148,7.80,7.50,7.60,-,-,-,9.75,9.50,7.50,8.28,9.75,7.5
33001149,2.40,4.50,2.40,-,-,-,4.75,3.50,3.50,3.51,4.75,2.4
33001151,2.80,6,7.60,-,-,-,7.50,7.25,2,5.52,7.6,2.0
33001150,6.80,7,7.60,-,-,-,9,8.25,7.75,7.73,9.0,6.8
33001153,2.60,6.25,5.40,-,-,-,7.75,6.25,2.50,5.12,7.75,2.5
33001154,3,6.25,7.40,-,-,-,9,6,4.25,5.98,9.0,3.0
33001155,3.80,5.50,5.60,-,-,-,7.75,7.75,3.75,5.69,7.75,3.75
33001152,2.80,3,5.20,-,-,-,5.25,5.75,3.25,4.21,5.75,2.8
33001156,4.20,5,4.40,-,-,-,6.25,5.50,2,4.56,6.25,2.0
33001157,2.80,5,4.60,-,-,-,7.50,6.75,4.25,5.15,7.5,2.8
33001161,7.20,6,9,5.75,8.75,8.25,-,-,-,7.49,9.0,5.75
33001159,2,6.25,4.20,-,-,-,9.25,7,3.75,5.41,9.25,2.0
33001158,7.40,7.75,8.60,6,8.50,7.25,-,-,-,7.58,8.6,6.0
33001162,3.60,6,5.20,-,-,-,8.50,8.25,6.25,6.3,8.5,3.6
33001160,5,5,4.20,-,-,-,7.25,6.25,4,5.28,7.25,4.0
33001165,6.60,7.50,8.60,-,-,-,9.25,8.25,5.50,7.62,9.25,5.5
33001163,4.40,6.50,8.40,-,-,-,9.50,8.50,3,6.72,9.5,3.0
33001164,6.60,7,7.40,-,-,-,9.75,8.75,8.50,8.0,9.75,6.6
33001166,8.20,8,7.60,8,7.50,6.50,-,-,-,7.63,8.2,6.5
33001170,2.40,3.50,3,-,-,-,6.25,6.50,4.50,4.36,6.5,2.4
33001168,3.60,7.50,7.20,-,-,-,9.25,9,6,7.09,9.25,3.6
33001167,4.20,6.25,7.60,5.25,8,5.50,-,-,-,6.13,8.0,4.2
33001169,3.40,7.50,6.20,-,-,-,10,8,3.25,6.39,10.0,3.25
33001173,5.40,6.25,6.80,-,-,-,9.25,5.50,3.50,6.12,9.25,3.5
33001172,2.20,5,5.20,-,-,-,6.25,5.50,2.50,4.44,6.25,2.2
33001171,6.40,6,7,-,-,-,9.25,7,6.50,7.02,9.25,6.0
33001174,1.60,5.50,7,-,-,-,6,6.25,4.50,5.14,7.0,1.6
33001180,6.60,8.25,6.80,-,-,-,9.50,7.75,4.50,7.23,9.5,4.5
33001175,7.40,7.25,4.60,-,-,-,8,7.25,4,6.42,8.0,4.0
33001176,3.40,8,6.20,-,-,-,9.25,8.25,4.75,6.64,9.25,3.4
33001179,4.80,7,4,-,-,-,7.75,6.25,3,5.47,7.75,3.0
33001178,3.60,4.75,7.20,-,-,-,8,6.25,3.50,5.55,8.0,3.5
33001181,8.40,7.25,7.60,-,-,-,9.25,7.50,5,7.5,9.25,5.0
33001182,7.40,7.50,8.80,9.25,8.25,6.50,-,-,-,7.95,9.25,6.5
33001177,4.40,3,4.20,-,-,-,5.50,5.75,1.25,4.02,5.75,1.25
33001183,4.80,5,3.80,-,-,-,8.25,5.50,3,5.06,8.25,3.0
33001185,3,6,4.60,-,-,-,7.75,7.25,5,5.6,7.75,3.0
33001184,2.60,6,5.40,-,-,-,7.50,6.75,3.75,5.33,7.5,2.6
33001187,6.20,6.50,2.80,-,-,-,9,6.50,5,6.0,9.0,5.0
33001189,5,6,7.60,-,-,-,7.75,7.75,5.75,6.64,7.75,5.0
33001186,2,7,5.20,-,-,-,7.75,5.50,3.50,5.16,7.75,2.0
33001188,5.60,7.50,7.80,5.25,8,8.25,-,-,-,7.07,8.25,5.25
33001190,3.80,6.25,6.20,-,-,-,8.75,7,8.25,6.71,8.75,3.8
33001191,6.60,7.50,8.20,-,-,-,9.50,7,5.50,7.38,9.5,5.5
33001192,3.40,5.50,7.20,-,-,-,7.50,7.75,6,6.22,7.75,3.4
33001195,2.60,4.75,4,-,-,-,6.25,6,3.25,4.48,6.25,2.6
33001194,4.40,6,8,5.25,5.25,3.25,-,-,-,5.36,8.0,3.25
33001196,2.80,5.25,5.60,-,-,-,8.25,8.75,4.75,5.9,8.75,2.8
33001197,4.80,7.33,7,-,-,-,7,7,5,6.35,7.33,4.8
33001198,9.60,8.50,7.80,-,-,-,8.50,7.75,6,8.03,9.6,6.0
33001193,7.60,7.17,7.80,-,-,-,9.50,7.25,4,7.22,9.5,4.0
33001199,6.20,7.50,7.40,-,-,-,8.25,7,6,7.06,8.25,6.0
33001200,4.60,5.75,7.20,-,-,-,10,8.75,8.25,7.42,10.0,4.6
33001201,4.80,6,4.40,-,-,-,6,6,3.25,5.08,6.0,3.25
33001204,9.40,6.50,8,-,-,-,8.50,7.25,6.75,7.73,9.4,6.5
33001202,4.20,6.50,6,-,-,-,8.50,7,5,6.2,8.5,4.2
33001203,3.60,7,5.60,-,-,-,8.75,6.50,6,6.24,8.75,3.6
33001206,5.60,8.25,7.40,-,-,-,8.25,8.75,7,7.54,8.75,5.6
33001207,5,7.25,6.40,-,-,-,8.50,7,6.25,6.73,8.5,5.0
33001205,4,5.25,4.40,-,-,-,7,6.25,2.50,4.9,7.0,2.5
33001208,2.60,7,6.80,-,-,-,7.25,6.75,3.25,5.61,7.25,2.6
33001209,4.40,6.25,6.20,-,-,-,7.50,7.25,4,5.93,7.5,4.0
33001210,2,5.75,6,-,-,-,6.75,6.25,4.25,5.17,6.75,2.0
33001211,2.40,2.50,5.20,-,-,-,6.75,4.50,1.75,3.85,6.75,1.75
33001212,2.40,5.50,7.40,-,-,-,7.25,7.25,5.50,5.88,7.4,2.4
33001214,3.20,6.25,7.80,-,-,-,7,8.25,7,6.58,8.25,3.2
33001213,3.40,6,6.40,-,-,-,7.25,7,4.50,5.76,7.25,3.4
33001215,4,5.25,4,-,-,-,7.50,6.25,4.50,5.25,7.5,4.0
33001216,2.20,4.75,5.80,-,-,-,9,6,4.25,5.33,9.0,2.2
33001217,4.40,6.75,6.80,5.75,7.25,6.75,-,-,-,6.28,7.25,4.4
33001218,2.80,5,7.20,-,-,-,8.75,8,6,6.29,8.75,2.8
33001219,6,6,6.60,-,-,-,9.50,8.75,7,7.31,9.5,6.0
33001220,4,6.67,7.20,-,-,-,9,7.25,7.25,6.9,9.0,4.0
33001224,3.60,6.50,8.60,6.25,7,6.75,-,-,-,6.45,8.6,3.6
33001225,9.60,8.17,8.80,-,-,-,9.25,8.75,7.50,8.68,9.6,7.5
33001221,3.20,4.75,7.20,4.50,6.25,4.75,-,-,-,5.11,7.2,3.2
33001226,3.80,5.50,6.40,-,-,-,7.50,7,2.25,5.41,7.5,2.25
33001222,3.40,4,5.80,-,-,-,7.25,6.75,6.50,5.62,7.25,3.4
33001223,6,2.75,3,-,-,-,6,5.25,5.25,4.71,6.0,2.75
33001228,2.60,6.75,5,-,-,-,7.75,6,2.25,5.06,7.75,2.25
33001229,3,5,5.80,-,-,-,6.75,5.50,3,4.84,6.75,3.0
33001227,9.20,7.50,6.80,-,-,-,9.50,7.75,6,7.79,9.5,6.0
33001230,3,5,7.60,-,-,-,7.50,8,4,5.85,8.0,3.0
33001233,5,6,5.40,-,-,-,7.50,5.25,4,5.52,7.5,4.0
33001234,2.60,6.75,6.40,-,-,-,5.75,5.50,2.75,4.96,6.75,2.6
33001231,5.20,5.50,7.40,6,7.75,6,-,-,-,6.31,7.75,5.2
33001232,3.20,4.25,7.20,-,-,-,6.75,5.75,3,5.02,7.2,3.0
